metric,split,value
target_coverage,all,0.9
quantile_model_alpha,all,0.9
conformal_correction,calibration,0.0
conformal_quantile_level,calibration,0.9005434782608696
calibration_samples,calibration,1840.0
calibration_empirical_coverage_before_conformal,calibration,0.9440217391304347
calibration_empirical_coverage_after_conformal,calibration,0.9440217391304347
id_empirical_coverage_before_conformal,test_id,0.8064159292035398
id_empirical_coverage_after_conformal,test_id,0.8064159292035398
ood_empirical_coverage_before_conformal,test_ood,0.5478515625
ood_empirical_coverage_after_conformal,test_ood,0.5478515625
