split,model,metric,value
calibration,linear_point,mae,1.8222015520924832
calibration,linear_point,rmse,2.4159929286646635
calibration,linear_point,max_abs_error,6.784386221180171
calibration,forest_point,mae,1.8880083700222836
calibration,forest_point,rmse,2.569540606482982
calibration,forest_point,max_abs_error,7.8634193762415805
calibration,quantile_upper,empirical_coverage,0.9329896907216495
calibration,quantile_upper,average_bound,47.25918991954531
calibration,quantile_upper,average_conservatism,3.4460612557809216
calibration,conformal_upper,empirical_coverage,0.9329896907216495
calibration,conformal_upper,average_bound,47.25918991954531
calibration,conformal_upper,average_conservatism,3.4460612557809216
test_id,linear_point,mae,1.9718269101341548
test_id,linear_point,rmse,2.3525898653022126
test_id,linear_point,max_abs_error,7.663214014816042
test_id,forest_point,mae,1.4946531130755445
test_id,forest_point,rmse,2.0094401368088297
test_id,forest_point,max_abs_error,6.818651503966407
test_id,quantile_upper,empirical_coverage,0.9263091216216216
test_id,quantile_upper,average_bound,47.54263125790747
test_id,quantile_upper,average_conservatism,3.322462740793048
test_id,conformal_upper,empirical_coverage,0.9263091216216216
test_id,conformal_upper,average_bound,47.54263125790747
test_id,conformal_upper,average_conservatism,3.322462740793048
test_ood,linear_point,mae,4.04546640662581
test_ood,linear_point,rmse,5.5265072599867695
test_ood,linear_point,max_abs_error,27.402675702038493
test_ood,forest_point,mae,7.043759942866904
test_ood,forest_point,rmse,10.36721092485989
test_ood,forest_point,max_abs_error,36.86654430632201
test_ood,quantile_upper,empirical_coverage,0.3383333333333333
test_ood,quantile_upper,average_bound,52.478557881029886
test_ood,quantile_upper,average_conservatism,-4.965448995700034
test_ood,conformal_upper,empirical_coverage,0.3383333333333333
test_ood,conformal_upper,average_bound,52.478557881029886
test_ood,conformal_upper,average_conservatism,-4.965448995700034
