metric,split,value
target_coverage,all,0.9
quantile_model_alpha,all,0.9
conformal_correction,calibration,0.0
conformal_quantile_level,calibration,0.9006782945736435
calibration_samples,calibration,2064.0
calibration_empirical_coverage_before_conformal,calibration,1.0
calibration_empirical_coverage_after_conformal,calibration,1.0
id_empirical_coverage_before_conformal,test_id,0.7796610169491526
id_empirical_coverage_after_conformal,test_id,0.7796610169491526
ood_empirical_coverage_before_conformal,test_ood,0.7196180555555556
ood_empirical_coverage_after_conformal,test_ood,0.7196180555555556
