split,model,metric,value
calibration,linear_point,mae,1.0729707276185276
calibration,linear_point,rmse,1.3656183004322435
calibration,linear_point,max_abs_error,4.14925361636174
calibration,forest_point,mae,0.6661283154405117
calibration,forest_point,rmse,0.9281986022987567
calibration,forest_point,max_abs_error,3.108358731286039
calibration,quantile_upper,empirical_coverage,0.9440217391304347
calibration,quantile_upper,average_bound,48.95067739342078
calibration,quantile_upper,average_conservatism,5.018698198999659
calibration,conformal_upper,empirical_coverage,0.9440217391304347
calibration,conformal_upper,average_bound,48.95067739342078
calibration,conformal_upper,average_conservatism,5.018698198999659
test_id,linear_point,mae,2.5170291319922655
test_id,linear_point,rmse,3.2223204395131737
test_id,linear_point,max_abs_error,9.582125619649204
test_id,forest_point,mae,2.071936257764987
test_id,forest_point,rmse,2.669457054795626
test_id,forest_point,max_abs_error,8.326864850421025
test_id,quantile_upper,empirical_coverage,0.8064159292035398
test_id,quantile_upper,average_bound,49.45391974932329
test_id,quantile_upper,average_conservatism,4.041037357959505
test_id,conformal_upper,empirical_coverage,0.8064159292035398
test_id,conformal_upper,average_bound,49.45391974932329
test_id,conformal_upper,average_conservatism,4.041037357959505
test_ood,linear_point,mae,2.66063211990265
test_ood,linear_point,rmse,3.5893763032311625
test_ood,linear_point,max_abs_error,11.832875926849255
test_ood,forest_point,mae,4.207464589142688
test_ood,forest_point,rmse,6.58756694008974
test_ood,forest_point,max_abs_error,23.281114221206217
test_ood,quantile_upper,empirical_coverage,0.5478515625
test_ood,quantile_upper,average_bound,50.851213353866356
test_ood,quantile_upper,average_conservatism,0.14256871368012747
test_ood,conformal_upper,empirical_coverage,0.5478515625
test_ood,conformal_upper,average_bound,50.851213353866356
test_ood,conformal_upper,average_conservatism,0.14256871368012747
