metric,split,value
target_coverage,all,0.9
quantile_model_alpha,all,0.9
conformal_correction,calibration,1.909438306218235
conformal_quantile_level,calibration,0.9007675438596491
calibration_samples,calibration,1824.0
calibration_empirical_coverage_before_conformal,calibration,0.7604166666666666
calibration_empirical_coverage_after_conformal,calibration,0.9007675438596491
id_empirical_coverage_before_conformal,test_id,0.5026939655172413
id_empirical_coverage_after_conformal,test_id,0.6637931034482759
ood_empirical_coverage_before_conformal,test_ood,0.4276315789473684
ood_empirical_coverage_after_conformal,test_ood,0.49712171052631576
