split,model,metric,value
calibration,linear_point,mae,1.2879700366250826
calibration,linear_point,rmse,1.8564844615129168
calibration,linear_point,max_abs_error,5.882787651725529
calibration,forest_point,mae,1.6435825400721942
calibration,forest_point,rmse,2.0735922989595488
calibration,forest_point,max_abs_error,4.425750850198682
calibration,quantile_upper,empirical_coverage,0.924512987012987
calibration,quantile_upper,average_bound,46.23274554767678
calibration,quantile_upper,average_conservatism,4.8964234029998694
calibration,conformal_upper,empirical_coverage,0.924512987012987
calibration,conformal_upper,average_bound,46.23274554767678
calibration,conformal_upper,average_conservatism,4.8964234029998694
test_id,linear_point,mae,2.66163209994658
test_id,linear_point,rmse,3.2040582368985984
test_id,linear_point,max_abs_error,6.733556381263867
test_id,forest_point,mae,1.6578223217428203
test_id,forest_point,rmse,2.1157687191618444
test_id,forest_point,max_abs_error,6.1988576358930985
test_id,quantile_upper,empirical_coverage,0.7983333333333333
test_id,quantile_upper,average_bound,45.93398460406601
test_id,quantile_upper,average_conservatism,4.069470221386374
test_id,conformal_upper,empirical_coverage,0.7983333333333333
test_id,conformal_upper,average_bound,45.93398460406601
test_id,conformal_upper,average_conservatism,4.069470221386374
test_ood,linear_point,mae,4.932016798321022
test_ood,linear_point,rmse,7.563303323714213
test_ood,linear_point,max_abs_error,20.84116730649272
test_ood,forest_point,mae,4.73816609842927
test_ood,forest_point,rmse,7.280256969501602
test_ood,forest_point,max_abs_error,23.590064754410534
test_ood,quantile_upper,empirical_coverage,0.5444711538461539
test_ood,quantile_upper,average_bound,48.39611862634577
test_ood,quantile_upper,average_conservatism,-0.3486265723983429
test_ood,conformal_upper,empirical_coverage,0.5444711538461539
test_ood,conformal_upper,average_bound,48.39611862634577
test_ood,conformal_upper,average_conservatism,-0.3486265723983429
