split,model,metric,value
calibration,linear_point,mae,1.108985594066245
calibration,linear_point,rmse,1.4384755836979584
calibration,linear_point,max_abs_error,3.580383084928286
calibration,forest_point,mae,1.7670205076652852
calibration,forest_point,rmse,1.9781833793586046
calibration,forest_point,max_abs_error,3.6219477369428006
calibration,quantile_upper,empirical_coverage,0.9985119047619048
calibration,quantile_upper,average_bound,42.37780439736936
calibration,quantile_upper,average_conservatism,3.7641707096207555
calibration,conformal_upper,empirical_coverage,0.9985119047619048
calibration,conformal_upper,average_bound,42.37780439736936
calibration,conformal_upper,average_conservatism,3.7641707096207555
test_id,linear_point,mae,1.409291308001725
test_id,linear_point,rmse,2.219235641404857
test_id,linear_point,max_abs_error,5.8447727257039475
test_id,forest_point,mae,2.020692332831767
test_id,forest_point,rmse,2.511044833080184
test_id,forest_point,max_abs_error,5.247201757125069
test_id,quantile_upper,empirical_coverage,0.8885869565217391
test_id,quantile_upper,average_bound,42.39881896295556
test_id,quantile_upper,average_conservatism,3.7751791576474396
test_id,conformal_upper,empirical_coverage,0.8885869565217391
test_id,conformal_upper,average_bound,42.39881896295556
test_id,conformal_upper,average_conservatism,3.7751791576474396
test_ood,linear_point,mae,1.4153835182010268
test_ood,linear_point,rmse,1.9193295419538432
test_ood,linear_point,max_abs_error,8.258553045889805
test_ood,forest_point,mae,3.794671617784017
test_ood,forest_point,rmse,5.112330913445016
test_ood,forest_point,max_abs_error,15.039463886072454
test_ood,quantile_upper,empirical_coverage,0.5054347826086957
test_ood,quantile_upper,average_bound,43.31758773900464
test_ood,quantile_upper,average_conservatism,-1.5379764468938637
test_ood,conformal_upper,empirical_coverage,0.5054347826086957
test_ood,conformal_upper,average_bound,43.31758773900464
test_ood,conformal_upper,average_conservatism,-1.5379764468938637
