metric,split,value
target_coverage,all,0.9
quantile_model_alpha,all,0.9
conformal_correction,calibration,0.42243091315987
conformal_quantile_level,calibration,0.9005681818181818
calibration_samples,calibration,1760.0
calibration_empirical_coverage_before_conformal,calibration,0.8795454545454545
calibration_empirical_coverage_after_conformal,calibration,0.9005681818181818
id_empirical_coverage_before_conformal,test_id,0.8329207920792079
id_empirical_coverage_after_conformal,test_id,0.844059405940594
ood_empirical_coverage_before_conformal,test_ood,0.5847902097902098
ood_empirical_coverage_after_conformal,test_ood,0.6123251748251748
